total_fitness,current_fitness,previous_fitness,live_enemies_count,dead_enemies_count,token,created_at
0.05235102,0.05235102,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:05 UTC
0.04971524,0.04943287,0.0002823728,3,1,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:10 UTC
0.05250275,0.05192421,0.0005785459,3,2,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:15 UTC
0.06052579,0.0596723,0.0008534885,3,3,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:20 UTC
0.05340702,0.05223736,0.001169655,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:25 UTC
0.05354012,0.05237046,0.001169655,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:30 UTC
0.06331474,0.06183512,0.001479616,3,5,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:35 UTC
0.07737327,0.07559045,0.001782816,4,6,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:40 UTC
0.09216616,0.0900728,0.002093362,5,7,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:45 UTC
0.1166732,0.1136534,0.003019876,6,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:50 UTC
0.1332403,0.1296117,0.003628662,7,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:55 UTC
0.1682535,0.1640061,0.004247452,9,14,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:00 UTC
0.1982653,0.1928059,0.005459461,11,18,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:05 UTC
0.2407978,0.2353384,0.005459461,14,18,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:10 UTC
0.2397917,0.2337529,0.006038767,14,20,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:15 UTC
0.3456314,0.339309,0.006322415,18,21,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:20 UTC
0.3741956,0.3672275,0.006968072,18,23,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:25 UTC
0.3482882,0.3403695,0.007918678,18,26,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:30 UTC
0.3469853,0.3387648,0.008220488,18,27,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:35 UTC
0.3323908,0.3232731,0.009117699,18,30,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:40 UTC
0.3543516,0.3426963,0.01165522,18,38,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:45 UTC
0.3177485,0.3049222,0.01282637,18,42,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:50 UTC
0.4479072,0.4345248,0.01338239,26,44,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:55 UTC
0.4593398,0.4441964,0.01514335,26,50,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:00 UTC
0.4697778,0.4536833,0.01609452,26,53,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:05 UTC
0.5077393,0.4891207,0.01861862,26,61,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:10 UTC
0.472558,0.4530495,0.01950849,26,64,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:15 UTC
0.7549579,0.7330503,0.02190756,41,72,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:20 UTC
0.7863328,0.7622185,0.02411429,41,79,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:25 UTC
0.7504412,0.7237522,0.02668897,41,87,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:30 UTC
0.7172706,0.688318,0.02895261,41,94,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:35 UTC
0.7043533,0.67283,0.03152331,41,102,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:40 UTC
0.7406344,0.7072573,0.03337705,41,108,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:45 UTC
0.7357497,0.6998066,0.03594311,41,116,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:50 UTC
1.294628,1.257053,0.03757456,79,121,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:54:55 UTC
0.2735407,0.2341646,0.03937616,14,127,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:55:00 UTC
0.04734032,0.04734032,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:07 UTC
0.06550683,0.06519579,0.0003110423,3,1,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:11 UTC
0.05272587,0.05178977,0.0009361057,3,3,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:16 UTC
0.05535456,0.05411568,0.001238881,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:21 UTC
0.04918772,0.04794883,0.001238881,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:26 UTC
0.06443342,0.06319454,0.001238881,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:31 UTC
0.06310398,0.06121702,0.001886958,3,6,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:36 UTC
0.05315984,0.05064126,0.002518582,3,8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:41 UTC
0.06539846,0.06287988,0.002518582,4,8,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:46 UTC
0.1034033,0.1000872,0.003316132,5,11,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:51 UTC
0.1149497,0.1107729,0.004176798,6,14,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:57:56 UTC
0.1323995,0.1277011,0.004698426,7,16,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:01 UTC
0.1726609,0.1676546,0.005006333,9,17,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:06 UTC
0.2250516,0.2194213,0.005630365,11,19,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:11 UTC
0.2512954,0.2448772,0.006418142,14,22,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:16 UTC
0.3297494,0.3230161,0.006733283,18,23,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:21 UTC
0.3676159,0.3605645,0.007051381,18,24,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:26 UTC
0.3853998,0.3773841,0.008015626,18,27,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:31 UTC
0.3479129,0.3387895,0.009123409,18,31,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:36 UTC
0.3586764,0.3486906,0.009985804,18,34,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:41 UTC
0.3427492,0.3316044,0.01114481,18,38,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2NzkzMTAsImp0aSI6IjVkYmFkY2JkLTY5YjYtNGZkMC1iZTM3LWJiZDU0ZDc4NmRlOCJ9.,2023-08-10 14:58:46 UTC
0.04188288,0.04188288,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:08 UTC
0.06247848,0.06247848,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:13 UTC
0.06852823,0.06852823,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:18 UTC
0.07213323,0.07118227,0.0009509554,3,3,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:25 UTC
0.05156652,0.05061556,0.0009509554,3,3,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:30 UTC
0.05653879,0.05530282,0.001235968,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:35 UTC
0.05496697,0.05344421,0.001522757,3,5,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:40 UTC
0.06311779,0.06134648,0.001771317,3,6,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:45 UTC
0.07184633,0.06916746,0.00267887,3,9,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:50 UTC
0.05589684,0.05321797,0.00267887,3,9,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:45:55 UTC
0.04500101,0.04153066,0.003470353,3,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:00 UTC
0.04832479,0.04463091,0.003693878,3,13,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:05 UTC
0.05412759,0.04992256,0.004205022,3,15,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:10 UTC
0.05301026,0.04852565,0.004484609,3,16,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:15 UTC
0.06134091,0.05631677,0.005024139,3,18,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:20 UTC
0.05125728,0.04598758,0.0052697,3,19,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:25 UTC
0.05423222,0.04841281,0.005819406,3,21,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:30 UTC
0.07834461,0.07193725,0.006407355,4,23,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:35 UTC
0.1000042,0.0929995,0.007004657,5,25,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:40 UTC
0.1139806,0.1061297,0.007850884,6,28,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:45 UTC
0.1528785,0.1450276,0.007850884,7,28,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:50 UTC
0.166869,0.1590181,0.007850884,9,28,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:46:55 UTC
0.2354249,0.227574,0.007850884,11,28,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:47:00 UTC
0.2266158,0.2187649,0.007850884,11,28,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:47:05 UTC
0.2198823,0.2105739,0.009308378,11,33,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:47:10 UTC
0.2413295,0.2307048,0.0106247,14,38,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzU3NDcsImp0aSI6ImJlYTlhM2Q5LWYzN2QtNDNjYy05YjhlLTExOTI5NTNlZmE0NiJ9.,2023-08-11 17:47:15 UTC
0.04345651,0.04345651,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE3NzYyMTAsImp0aSI6ImFjNDJjYTU4LTZkYWQtNDE1Yy04ZmQxLTJiNjYxNjhhYmY0MyJ9.,2023-08-11 17:53:41 UTC
